,Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze,individual_gold,individual_silver,individual_bronze
0,Taylor Worth,Australia,21,174.0,60.0,M,Archery,Men's Individual,,,,,,,
1,Md Emdadul Haque Milon,Bangladesh,19,174.0,60.0,M,Archery,Men's Individual,,,,,,,
2,Yavor Vasilev Hristov,Bulgaria,36,178.0,88.0,M,Archery,Men's Individual,,,,,,,
3,Rene Philippe Kouassi,Côte d'Ivoire,32,190.0,77.0,M,Archery,Men's Individual,,,,,,,
4,Crispin Duenas,Canada,26,170.0,81.0,M,Archery,Men's Individual,,,,,,,
5,Daniel Felipe Pineda,Colombia,18,186.0,83.0,M,Archery,Men's Individual,,,,,,,
6,Juan Carlos Stevens,Cuba,43,,,M,Archery,Men's Individual,,,,,,,
7,Ahmed El-Nemr,Egypt,33,183.0,84.0,M,Archery,Men's Individual,,,,,,,
8,Robert Elder,Fiji,31,193.0,115.0,M,Archery,Men's Individual,,,,,,,
9,Camilo Mayr,Germany,21,178.0,74.0,M,Archery,Men's Individual,,,,,,,
10,Kar Wai Calvin Lee,"Hong Kong, China",29,172.0,68.0,M,Archery,Men's Individual,,,,,,,
11,Denis Gankin,Kazakhstan,22,183.0,68.0,M,Archery,Men's Individual,,,,,,,
12,Jeff Henckels,Luxembourg,27,184.0,77.0,M,Archery,Men's Individual,,,,,,,
13,Jantsan Gantugs,Mongolia,40,174.0,75.0,M,Archery,Men's Individual,,,,,,,
14,Nay Myo Aung,Myanmar,26,178.0,71.0,M,Archery,Men's Individual,,,,,,,
15,Rick van der Ven,Netherlands,21,181.0,71.0,M,Archery,Men's Individual,,,,,,,
16,Baard Nesteng,Norway,33,,,M,Archery,Men's Individual,,,,,,,
17,Mark Javier,Philippines,30,173.0,53.0,M,Archery,Men's Individual,,,,,,,
18,Rafal Dobrowolski,Poland,28,180.0,80.0,M,Archery,Men's Individual,,,,,,,
19,Dan Olaru,Republic of Moldova,15,175.0,70.0,M,Archery,Men's Individual,,,,,,,
20,Emanuele Guidi,San Marino,42,175.0,80.0,M,Archery,Men's Individual,,,,,,,
21,Klemen Strajhar,Slovenia,17,190.0,92.0,M,Archery,Men's Individual,,,,,,,
22,Elias Cuesta,Spain,27,177.0,76.0,M,Archery,Men's Individual,,,,,,,
23,Axel Muller,Switzerland,20,176.0,70.0,M,Archery,Men's Individual,,,,,,,
24,Witthaya Thamwong,Thailand,24,180.0,82.0,M,Archery,Men's Individual,,,,,,,
25,Elias Malave,Venezuela,22,179.0,72.0,M,Archery,Men's Individual,,,,,,,
26,Gael Prevost,France,18,193.0,75.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
27,Romain Girouille,France,24,193.0,75.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
28,Thomas Faucheron,France,22,175.0,72.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
29,Alan Wills,Great Britain,31,179.0,84.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
30,Larry Godfrey,Great Britain,36,178.0,84.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
31,Simon Terry,Great Britain,38,180.0,100.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
32,Jayanta Talukdar,India,26,,,M,Archery,"Men's Individual, Men's Team",,,,,,,
33,Rahul Banerjee,India,25,,,M,Archery,"Men's Individual, Men's Team",,,,,,,
34,Marco Galiazzo,Italy,29,178.0,98.0,M,Archery,"Men's Individual, Men's Team",YES,0.33,,,False,,
35,Mauro Nespoli,Italy,24,181.0,85.0,M,Archery,"Men's Individual, Men's Team",YES,0.33,,,False,,
36,Michele Frangilli,Italy,36,181.0,110.0,M,Archery,"Men's Individual, Men's Team",YES,0.33,,,False,,
37,Hideki Kikuchi,Japan,26,182.0,80.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
38,Takaharu Furukawa,Japan,27,174.0,81.0,M,Archery,"Men's Individual, Men's Team",YES,,1,,,True,
39,Yu Ishizu,Japan,25,170.0,66.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
40,Chu Sian Cheng,Malaysia,26,182.0,94.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
41,Haziq Kamaruddin,Malaysia,19,178.0,85.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
42,Khairul Anuar Mohamad,Malaysia,20,171.0,70.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
43,Juan Rene Serrano,Mexico,28,178.0,87.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
44,Luis Alvarez,Mexico,21,174.0,90.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
45,Luis Eduardo Velez,Mexico,26,180.0,81.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
46,Xiaoxiang Dai,People's Republic of China,21,178.0,70.0,M,Archery,"Men's Individual, Men's Team",YES,,,1.0,,,True
47,Yu Xing,People's Republic of China,21,188.0,77.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
48,Zhaowu Liu,People's Republic of China,23,179.0,65.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
49,Bubmin Kim,Republic of Korea,21,187.0,96.0,M,Archery,"Men's Individual, Men's Team",YES,,,0.33,,,False
50,Dong Hyun Im,Republic of Korea,26,184.0,100.0,M,Archery,"Men's Individual, Men's Team",YES,,,0.33,,,False
51,Jin Hyek Oh,Republic of Korea,30,182.0,100.0,M,Archery,"Men's Individual, Men's Team",YES,1,,0.33,True,,False
52,Cheng-Pang Wang,Taipei (Chinese Taipei),25,178.0,86.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
53,Cheng-Wei Kuo,Taipei (Chinese Taipei),28,178.0,99.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
54,Yu-Cheng Chen,Taipei (Chinese Taipei),19,180.0,72.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
55,Dmytro Hrachov,Ukraine,28,180.0,90.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
56,Markiyan Ivashko,Ukraine,33,183.0,100.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
57,Viktor Ruban,Ukraine,31,178.0,72.0,M,Archery,"Men's Individual, Men's Team",,,,,,,
58,Brady Ellison,United States of America,23,180.0,86.0,M,Archery,"Men's Individual, Men's Team",,,0.33,,,,
59,Jacob Wukie,United States of America,26,180.0,73.0,M,Archery,"Men's Individual, Men's Team",YES,,0.33,,,False,
60,Jake Kaminski,United States of America,23,208.0,71.0,M,Archery,"Men's Individual, Men's Team",YES,,0.33,,,False,
61,Elisa Barnard,Australia,19,171.0,57.0,F,Archery,Women's Individual,,,,,,,
62,Sherab Zam,Bhutan,28,152.0,51.0,F,Archery,Women's Individual,,,,,,,
63,Marie-Pier Beaudet,Canada,25,164.0,60.0,F,Archery,Women's Individual,,,,,,,
64,Denisse van Lamoen,Chile,32,157.0,51.0,F,Archery,Women's Individual,,,,,,,
65,Ana Maria Rendon,Colombia,26,160.0,63.0,F,Archery,Women's Individual,,,,,,,
66,Un Sil Kwon,Democratic People's Republic  of Korea,28,160.0,52.0,F,Archery,Women's Individual,,,,,,,
67,Nada Kamel,Egypt,21,162.0,66.0,F,Archery,Women's Individual,,,,,,,
68,Reena Parnat,Estonia,18,167.0,54.0,F,Archery,Women's Individual,,,,,,,
69,Berengere Schuh,France,28,163.0,54.0,F,Archery,Women's Individual,,,,,,,
70,Kristine Esebua,Georgia,27,161.0,55.0,F,Archery,Women's Individual,,,,,,,
71,Elena Richter,Germany,23,174.0,67.0,F,Archery,Women's Individual,,,,,,,
72,Evangelia Psarra,Greece,38,172.0,63.0,F,Archery,Women's Individual,,,,,,,
73,Rand Al-Mashhadani,Iraq,17,160.0,50.0,F,Archery,Women's Individual,,,,,,,
74,Zahra Dehghanabnavi,Islamic Republic of Iran,24,156.0,57.0,F,Archery,Women's Individual,,,,,,,
75,Anastassiya Bannova,Kazakhstan,23,168.0,56.0,F,Archery,Women's Individual,,,,,,,
76,Nurul Syafiqah Hashim,Malaysia,18,170.0,55.0,F,Archery,Women's Individual,,,,,,,
77,Bishindee Urantungalag,Mongolia,35,175.0,74.0,F,Archery,Women's Individual,,,,,,,
78,Rachelle Anne Cabral,Philippines,27,170.0,74.0,F,Archery,Women's Individual,,,,,,,
79,Natalia Lesniak,Poland,21,165.0,74.0,F,Archery,Women's Individual,,,,,,,
80,Maureen Tuimalealiifano,Samoa,41,175.0,70.0,F,Archery,Women's Individual,,,,,,,
81,Karen Hultzer,South Africa,46,175.0,95.0,F,Archery,Women's Individual,,,,,,,
82,Iria Grandal,Spain,21,161.0,55.0,F,Archery,Women's Individual,,,,,,,
83,Christine Bjerendal,Sweden,25,161.0,66.0,F,Archery,Women's Individual,,,,,,,
84,Nathalie Dielen,Switzerland,46,163.0,73.0,F,Archery,Women's Individual,,,,,,,
85,Begul Lokluoglu,Turkey,23,161.0,58.0,F,Archery,Women's Individual,,,,,,,
86,Leidys Brito,Venezuela,28,169.0,77.0,F,Archery,Women's Individual,,,,,,,
87,Carina Christiansen,Denmark,21,171.0,67.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
88,Louise Laursen,Denmark,24,170.0,60.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
89,Maja Jager,Denmark,20,168.0,55.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
90,Alison Williamson,Great Britain,40,175.0,75.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
91,Amy Oliver,Great Britain,25,173.0,62.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
92,Naomi Folkard,Great Britain,28,169.0,67.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
93,Bombayla Devi Laishram,India,27,,,F,Archery,"Women's Individual, Women's Team",,,,,,,
94,Chekrovolu Swuro,India,29,,,F,Archery,"Women's Individual, Women's Team",,,,,,,
95,Deepika Kumari,India,18,,,F,Archery,"Women's Individual, Women's Team",,,,,,,
96,Natalia Valeeva,Italy,42,168.0,63.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
97,Pia Lionetti,Italy,25,161.0,58.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
98,Kaori Kawanaka,Japan,21,159.0,50.0,F,Archery,"Women's Individual, Women's Team",YES,,,0.33,,,False
99,Miki Kanie,Japan,23,162.0,64.0,F,Archery,"Women's Individual, Women's Team",YES,,,0.33,,,False
100,Ren Hayakawa,Japan,24,179.0,65.0,F,Archery,"Women's Individual, Women's Team",YES,,,0.33,,,False
101,Aida Roman,Mexico,24,168.0,61.0,F,Archery,"Women's Individual, Women's Team",YES,,1,,,True,
102,Alejandra Valencia,Mexico,17,176.0,74.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
103,Mariana Avitia,Mexico,18,164.0,61.0,F,Archery,"Women's Individual, Women's Team",YES,,,1.0,,,True
104,Jing Xu,People's Republic of China,21,169.0,70.0,F,Archery,"Women's Individual, Women's Team",YES,,0.33,,,False,
105,Ming Cheng,People's Republic of China,26,165.0,65.0,F,Archery,"Women's Individual, Women's Team",YES,,0.33,,,False,
106,Yuting Fang,People's Republic of China,22,170.0,62.0,F,Archery,"Women's Individual, Women's Team",YES,,0.33,,,False,
107,Bo Bae Ki,Republic of Korea,24,168.0,55.0,F,Archery,"Women's Individual, Women's Team",YES,1.33,,,False,,
108,Hyeonju Choi,Republic of Korea,27,172.0,65.0,F,Archery,"Women's Individual, Women's Team",YES,0.33,,,False,,
109,Sung Jin Lee,Republic of Korea,27,165.0,60.0,F,Archery,"Women's Individual, Women's Team",YES,0.33,,,False,,
110,Inna Stepanova,Russian Federation,22,175.0,62.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
111,Ksenia Perova,Russian Federation,23,170.0,74.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
112,Chia-En Lin,Taipei (Chinese Taipei),19,166.0,55.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
113,Chien-Ying Le,Taipei (Chinese Taipei),22,165.0,65.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
114,Ya-Ting Tan,Taipei (Chinese Taipei),18,159.0,56.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
115,Kateryna Palekha,Ukraine,31,168.0,63.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
116,Lidiia Sichenikova,Ukraine,19,183.0,68.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
117,Tetyana Dorokhova,Ukraine,27,164.0,64.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
118,Jennifer Nichols,United States of America,28,183.0,64.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
119,Khatuna Lorig,United States of America,38,170.0,64.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
120,Miranda Leek,United States of America,19,163.0,75.0,F,Archery,"Women's Individual, Women's Team",,,,,,,
121,Ben St Lawrence,Australia,30,180.0,85.0,M,Athletics,"Men's 10,000m",,,,,,,
122,Ali Hasan Mahboob,Bahrain,30,175.0,70.0,M,Athletics,"Men's 10,000m",,,,,,,
123,Mohammed Ahmed,Canada,21,190.0,60.0,M,Athletics,"Men's 10,000m",,,,,,,
124,Bayron Piedra,Ecuador,29,176.0,62.0,M,Athletics,"Men's 10,000m",,,,,,,
125,Nguse Tesfaldet,Eritrea,25,180.0,56.0,M,Athletics,"Men's 10,000m",,,,,,,
126,Zersenay Tadese,Eritrea,30,160.0,54.0,M,Athletics,"Men's 10,000m",,,,,,,
127,Gebregziabher Gebremariam,Ethiopia,27,183.0,60.0,M,Athletics,"Men's 10,000m",,,,,,,
128,Tariku Bekele,Ethiopia,25,168.0,62.0,M,Athletics,"Men's 10,000m",YES,,,1.0,,,True
129,Christopher Thompson,Great Britain,31,178.0,67.0,M,Athletics,"Men's 10,000m",,,,,,,
130,Bedan Karoki Muchiri,Kenya,21,167.0,65.0,M,Athletics,"Men's 10,000m",,,,,,,
131,Moses Ndiema Masai,Kenya,26,172.0,60.0,M,Athletics,"Men's 10,000m",,,,,,,
132,Wilson Kiprop,Kenya,25,,,M,Athletics,"Men's 10,000m",,,,,,,
133,Diego Estrada,Mexico,22,180.0,61.0,M,Athletics,"Men's 10,000m",,,,,,,
134,Robert Kajuga,Rwanda,27,158.0,61.0,M,Athletics,"Men's 10,000m",,,,,,,
135,Ayad Lamdassem,Spain,30,170.0,52.0,M,Athletics,"Men's 10,000m",,,,,,,
136,Thomas Ayeko,Uganda,20,168.0,58.0,M,Athletics,"Men's 10,000m",,,,,,,
137,Mykola Labovskyy,Ukraine,29,175.0,70.0,M,Athletics,"Men's 10,000m",,,,,,,
138,Dathan Ritzenhein,United States of America,29,173.0,55.0,M,Athletics,"Men's 10,000m",,,,,,,
139,Matthew Tegenkamp,United States of America,30,188.0,68.0,M,Athletics,"Men's 10,000m",,,,,,,
140,Massoud Azizi,Afghanistan,23,175.0,63.0,M,Athletics,Men's 100m,,,,,,,
141,Elama Fa'atonu,American Samoa,18,175.0,82.0,M,Athletics,Men's 100m,,,,,,,
142,Derrick Atkins,Bahamas,28,185.0,88.0,M,Athletics,Men's 100m,,,,,,,
143,Warren Fraser,Bahamas,21,172.0,73.0,M,Athletics,Men's 100m,,,,,,,
144,Mohan Khan,Bangladesh,20,170.0,56.0,M,Athletics,Men's 100m,,,,,,,
145,Ramon Gittens,Barbados,25,180.0,77.0,M,Athletics,Men's 100m,,,,,,,
146,Artur Bruno Rojas,Bolivia,19,,,M,Athletics,Men's 100m,,,,,,,
147,Gerard Kobeane,Burkina Faso,24,179.0,74.0,M,Athletics,Men's 100m,,,,,,,
148,Idrissa Adam,Cameroon,27,178.0,79.0,M,Athletics,Men's 100m,,,,,,,
149,Kemar Hyman,Cayman Islands,22,178.0,74.0,M,Athletics,Men's 100m,,,,,,,
150,Berenger Aymard Bosse,Central African Republic,27,,,M,Athletics,Men's 100m,,,,,,,
151,Abdouraim Haroun,Chad,20,174.0,72.0,M,Athletics,Men's 100m,,,,,,,
152,Isidro Montoya,Colombia,21,176.0,68.0,M,Athletics,Men's 100m,,,,,,,
153,Devilert Arsene Kimbembe,Congo,27,171.0,,M,Athletics,Men's 100m,,,,,,,
154,Patrick Tuara,Cook Islands,19,168.0,79.0,M,Athletics,Men's 100m,,,,,,,
155,John Howard,Federated States of Micronesia,31,173.0,78.0,M,Athletics,Men's 100m,,,,,,,
156,Wilfried Bingangoye,Gabon,27,,,M,Athletics,Men's 100m,,,,,,,
157,Suwaibou Sanneh,Gambia,21,165.0,80.0,M,Athletics,Men's 100m,,,,,,,
158,Paul Williams,Grenada,26,,,M,Athletics,Men's 100m,,,,,,,
159,Holder da Silva,Guinea-Bissau,24,181.0,75.0,M,Athletics,Men's 100m,,,,,,,
160,Jeremy Bascom,Guyana,28,170.0,73.0,M,Athletics,Men's 100m,,,,,,,
161,Fernando Lumain,Indonesia,22,183.0,76.0,M,Athletics,Men's 100m,,,,,,,
162,Nooa Takooa,Kiribati,19,160.0,67.0,M,Athletics,Men's 100m,,,,,,,
163,Kilakone Siphonexay,Lao People's Democratic Republic,23,168.0,63.0,M,Athletics,Men's 100m,,,,,,,
164,Rytis Sakalauskas,Lithuania,25,185.0,83.0,M,Athletics,Men's 100m,,,,,,,
165,Azneem Ahmed,Maldives,23,169.0,65.0,M,Athletics,Men's 100m,,,,,,,
166,Rachid Chouhal,Malta,37,178.0,80.0,M,Athletics,Men's 100m,,,,,,,
167,Timi Garstang,Marshall Islands,25,175.0,73.0,M,Athletics,Men's 100m,,,,,,,
168,Fabrice Coiffic,Mauritius,27,168.0,73.0,M,Athletics,Men's 100m,,,,,,,
169,Tilak Ram Tharu,Nepal,19,168.0,72.0,M,Athletics,Men's 100m,,,,,,,
170,Obinna Metu,Nigeria,24,189.0,76.0,M,Athletics,Men's 100m,,,,,,,
171,Ogho-Oghene Egwero,Nigeria,23,152.0,64.0,M,Athletics,Men's 100m,,,,,,,
172,Peter Emelieze,Nigeria,24,170.0,65.0,M,Athletics,Men's 100m,,,,,,,
173,Barakat Mubarak Al-Harthi,Oman,24,171.0,67.0,M,Athletics,Men's 100m,,,,,,,
174,Liaqat Ali,Pakistan,28,,,M,Athletics,Men's 100m,,,,,,,
175,Rodman Teltull,Palau,18,170.0,57.0,M,Athletics,Men's 100m,,,,,,,
176,Miguel Lopez,Puerto Rico,22,,,M,Athletics,Men's 100m,,,,,,,
177,Christopher Lima da Costa,Sao Tome and Principe,24,175.0,62.0,M,Athletics,Men's 100m,,,,,,,
178,Foo Ee Yeo,Singapore,25,171.0,64.0,M,Athletics,Men's 100m,,,,,,,
179,Chris Meke Walasi,Solomon Islands,32,,,M,Athletics,Men's 100m,,,,,,,
180,Angel David Rodriguez,Spain,32,178.0,73.0,M,Athletics,Men's 100m,,,,,,,
181,Courtney Carl Williams,St Vincent and the Grenadines,21,183.0,82.0,M,Athletics,Men's 100m,,,,,,,
182,Jurgen Themen,Suriname,26,172.0,75.0,M,Athletics,Men's 100m,,,,,,,
183,Joseph Andy Lui,Tonga,20,,,M,Athletics,Men's 100m,,,,,,,
184,Tavevele Noa,Tuvalu,20,176.0,74.0,M,Athletics,Men's 100m,,,,,,,
185,J'maal Alexander,"Virgin Islands, British",18,,,M,Athletics,Men's 100m,,,,,,,
186,Gerald Phiri,Zambia,23,178.0,80.0,M,Athletics,Men's 100m,,,,,,,
187,Daniel Bailey,Antigua and Barbuda,25,179.0,68.0,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
188,Ben Youssef Meite,Côte d'Ivoire,25,180.0,84.0,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
189,Amr Ibrahim Mostafa Seoud,Egypt,26,180.0,73.0,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
190,Marek Niit,Estonia,24,182.0,82.0,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
191,Aziz Ouhadi,Morocco,28,168.0,72.0,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
192,Jaysuma Saidy Ndure,Norway,28,,,M,Athletics,"Men's 100m, Men's 200m",,,,,,,
193,Usain Bolt,Jamaica,25,196.0,93.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,2,,,True,,
194,Yohan Blake,Jamaica,22,180.0,76.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,,2,,,True,
195,Churandy Martina,Netherlands,28,178.0,74.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,,,,
196,Antoine Adams,Saint Kitts and Nevis,23,180.0,79.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,,,,
197,Kim Collins,Saint Kitts and Nevis,36,173.0,66.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,,,,
198,Rondel Sorrillo,Trinidad and Tobago,26,172.0,64.0,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,,,,
199,Nilson Andre,Brazil,26,172.0,70.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
200,Justyn Warner,Canada,25,177.0,79.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
201,Jimmy Vicaut,France,20,184.0,76.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
202,Adam Gemili,Great Britain,18,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
203,Dwain Chambers,Great Britain,34,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
204,James Dasaolu,Great Britain,24,186.0,87.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
205,Asafa Powell,Jamaica,29,175.0,78.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
206,Michael Frater,Jamaica,29,175.0,75.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
207,Ryota Yamagata,Japan,20,176.0,67.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
208,Dariusz Kuc,Poland,26,176.0,73.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
209,Jason Rogers,Saint Kitts and Nevis,20,173.0,69.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
210,Keston Bledman,Trinidad and Tobago,24,180.0,88.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
211,Marc Burns,Trinidad and Tobago,29,185.0,88.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
212,Richard Thompson,Trinidad and Tobago,27,167.0,77.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
213,Justin Gatlin,United States of America,30,185.0,83.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",YES,,,1.0,,,True
214,Ryan Bailey,United States of America,23,193.0,98.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
215,Tyson Gay,United States of America,29,178.0,77.0,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,,,,
216,Shamar Sands,Bahamas,27,,,M,Athletics,Men's 110m Hurdles,,,,,,,
217,Greggmar Swift,Barbados,21,183.0,68.0,M,Athletics,Men's 110m Hurdles,,,,,,,
218,Ryan Brathwaite,Barbados,24,185.0,77.0,M,Athletics,Men's 110m Hurdles,,,,,,,
219,Shane Brathwaite,Barbados,22,182.0,77.0,M,Athletics,Men's 110m Hurdles,,,,,,,
220,Maksim Lynsha,Belarus,27,190.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
221,Adrien Deghelt,Belgium,27,185.0,77.0,M,Athletics,Men's 110m Hurdles,,,,,,,
222,Ronald Forbes,Cayman Islands,27,192.0,93.0,M,Athletics,Men's 110m Hurdles,,,,,,,
223,Paulo Villar,Colombia,34,183.0,73.0,M,Athletics,Men's 110m Hurdles,,,,,,,
224,Orlando Ortega,Cuba,21,,,M,Athletics,Men's 110m Hurdles,,,,,,,
225,Dimitri Bascou,France,25,182.0,72.0,M,Athletics,Men's 110m Hurdles,,,,,,,
226,Garfield Darien,France,24,190.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
227,Ladji Doucoure,France,29,186.0,78.0,M,Athletics,Men's 110m Hurdles,,,,,,,
228,David Ilariani,Georgia,31,195.0,87.0,M,Athletics,Men's 110m Hurdles,,,,,,,
229,Alexander John,Germany,26,185.0,82.0,M,Athletics,Men's 110m Hurdles,,,,,,,
230,Erik Balnuweit,Germany,23,189.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
231,Matthias Buhler,Germany,25,189.0,77.0,M,Athletics,Men's 110m Hurdles,,,,,,,
232,Andrew Pozzi,Great Britain,20,190.0,78.0,M,Athletics,Men's 110m Hurdles,,,,,,,
233,Lawrence Clarke,Great Britain,22,187.0,78.0,M,Athletics,Men's 110m Hurdles,,,,,,,
234,Konstadinos Douvalidis,Greece,25,184.0,78.0,M,Athletics,Men's 110m Hurdles,,,,,,,
235,Jeffrey Julmis,Haiti,24,,,M,Athletics,Men's 110m Hurdles,,,,,,,
236,Ronald Bennett,Honduras,27,175.0,70.0,M,Athletics,Men's 110m Hurdles,,,,,,,
237,Balazs Baji,Hungary,23,192.0,83.0,M,Athletics,Men's 110m Hurdles,,,,,,,
238,Daniel Kiss,Hungary,30,196.0,96.0,M,Athletics,Men's 110m Hurdles,,,,,,,
239,Rohollah Asgari,Islamic Republic of Iran,30,187.0,82.0,M,Athletics,Men's 110m Hurdles,,,,,,,
240,Emanuele Abate,Italy,27,190.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
241,Andrew Riley,Jamaica,23,,,M,Athletics,Men's 110m Hurdles,,,,,,,
242,Hansle Parchment,Jamaica,22,196.0,90.0,M,Athletics,Men's 110m Hurdles,YES,,,1.0,,,True
243,Richard Phillips,Jamaica,29,192.0,84.0,M,Athletics,Men's 110m Hurdles,,,,,,,
244,Fawaz Al-Shammari,Kuwait,35,,,M,Athletics,Men's 110m Hurdles,,,,,,,
245,Ahmad Hazer,Lebanon,22,188.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
246,Kame Ali,Madagascar,27,190.0,83.0,M,Athletics,Men's 110m Hurdles,,,,,,,
247,Gregory Sedoc,Netherlands,30,179.0,75.0,M,Athletics,Men's 110m Hurdles,,,,,,,
248,Selim Nurudeen,Nigeria,29,190.0,77.0,M,Athletics,Men's 110m Hurdles,,,,,,,
249,Dongpeng Shi,People's Republic of China,30,192.0,85.0,M,Athletics,Men's 110m Hurdles,,,,,,,
250,Wenjun Xie,People's Republic of China,22,190.0,85.0,M,Athletics,Men's 110m Hurdles,,,,,,,
251,Xiang Liu,People's Republic of China,29,190.0,86.0,M,Athletics,Men's 110m Hurdles,,,,,,,
252,Artur Noga,Poland,24,196.0,92.0,M,Athletics,Men's 110m Hurdles,,,,,,,
253,Joao Carlos Almeida,Portugal,24,185.0,88.0,M,Athletics,Men's 110m Hurdles,,,,,,,
254,Enrique Llanos,Puerto Rico,32,,,M,Athletics,Men's 110m Hurdles,,,,,,,
255,Hector Cotto,Puerto Rico,27,191.0,86.0,M,Athletics,Men's 110m Hurdles,,,,,,,
256,Aleksey Dremin,Russian Federation,23,186.0,80.0,M,Athletics,Men's 110m Hurdles,,,,,,,
257,Konstantin Shabanov,Russian Federation,22,184.0,75.0,M,Athletics,Men's 110m Hurdles,,,,,,,
258,Sergey Shubenkov,Russian Federation,21,190.0,75.0,M,Athletics,Men's 110m Hurdles,,,,,,,
259,Ahmad Kh A Al-Molad,Saudi Arabia,24,,,M,Athletics,Men's 110m Hurdles,,,,,,,
260,Moussa Dembele,Senegal,23,182.0,78.0,M,Athletics,Men's 110m Hurdles,,,,,,,
261,Lehann Fourie,South Africa,25,196.0,98.0,M,Athletics,Men's 110m Hurdles,,,,,,,
